CUST_ID,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10261,19.508047,193.14,193.14,0.0,0.416667,0.0,0,2000.0,220.46377,71.965063,0.25,12
C10266,5.8717690000000005,29.68,0.0,0.0,0.083333,0.0,0,10000.0,76.943584,75.595199,0.0,12
C10267,1049.4964710000002,1322.67,225.96,774.260436,0.833333,0.25,6,11000.0,802.3854299999999,229.65509100000003,0.0,12
C10270,1668.591831,0.0,0.0,1716.9412350000002,0.0,0.166667,5,1800.0,2166.981163,568.063083,0.083333,12
C10275,614.263149,408.93,334.13,0.0,0.5,0.0,0,9000.0,2161.153147,312.343947,0.0,12
C10279,80.70880600000001,569.9,0.0,0.0,0.166667,0.0,0,9500.0,634.000055,92.012927,0.083333,12
C10282,3905.365959,150.8,0.0,1659.19931,0.166667,0.416667,5,7500.0,990.524408,989.783286,0.0,12
C10287,1873.0845769999999,126.57,0.0,181.139378,0.25,0.083333,1,2100.0,483.557464,524.426392,0.0,12
C10292,1129.3375800000001,498.96,498.96,72.259355,1.0,0.083333,1,1000.0,829.505486,1623.389428,0.0,12
C10293,668.956687,224.2,76.08,0.0,0.583333,0.0,0,9500.0,568.336995,272.270427,0.0,12
C10295,272.711518,0.0,0.0,682.1560509999999,0.0,0.083333,2,3000.0,2755.877257,144.621645,0.181818,12
C10297,2420.761135,0.0,0.0,567.2337980000001,0.0,0.083333,2,3000.0,871.7133210000001,609.206784,0.0,12
C10298,2935.324966,409.63,57.76,1876.241162,0.583333,0.25,4,5000.0,580.13865,1114.588285,0.0,12
C10305,41.833264,456.36,456.36,0.0,1.0,0.0,0,6000.0,370.996177,163.28761799999998,0.333333,12
C10311,3621.7020399999997,674.73,0.0,1684.9574109999999,0.25,0.166667,8,4000.0,1139.058595,1403.477006,0.0,12
C10320,566.908563,397.06,93.36,0.0,0.666667,0.0,0,2100.0,0.0,,0.0,12
C10324,927.0419609999999,0.0,0.0,402.97416400000003,0.0,0.333333,5,1000.0,719.974244,339.553093,0.0,12
C10329,40.089221,225.0,225.0,0.0,1.0,0.0,0,1500.0,325.578502,286.122587,0.166667,12
C10334,2233.074041,445.2,0.0,0.0,0.166667,0.0,0,8000.0,1042.991769,579.587654,0.0,12
C10336,57.842746,689.34,689.34,0.0,1.0,0.0,0,1500.0,453.84241299999996,148.28357,0.333333,12
C10339,850.630114,0.05,0.0,1700.634586,0.083333,0.333333,7,1000.0,1084.281127,367.409536,0.0,12
C10341,2669.160638,0.0,0.0,142.141325,0.0,0.166667,2,3000.0,642.777061,1122.076137,0.0,12
C10351,907.982017,216.94,0.0,1011.997944,0.166667,0.166667,5,3200.0,222.02316000000002,300.210049,0.0,12
C10353,1254.6691,361.73,0.0,198.686744,0.166667,0.083333,1,1500.0,535.606816,432.68807999999996,0.0,12
C10358,1032.241153,1005.52,541.02,0.0,1.0,0.0,0,3000.0,1866.265366,237.32838199999998,0.0,12
C10361,4211.539631000001,0.0,0.0,455.581546,0.0,0.083333,1,10500.0,1288.287239,1164.178674,0.0,12
C10371,1543.287931,0.0,0.0,36.481832,0.0,0.083333,1,1800.0,548.589391,529.3404879999999,0.0,12
C10372,601.92037,983.77,380.0,0.0,0.666667,0.0,0,2400.0,389.411161,219.465695,0.0,12
C10373,1261.05733,0.0,0.0,474.42984299999995,0.0,0.25,3,1500.0,866.865018,354.38100299999996,0.0,12
C10376,813.068705,439.38,0.0,727.658311,0.083333,0.25,8,1200.0,237.996469,265.708814,0.0,12
C10390,241.223955,180.91,0.0,0.0,0.166667,0.0,0,1400.0,802.858576,220.455533,0.0,12
C10391,1528.571561,0.0,0.0,172.931118,0.0,0.166667,2,1600.0,353.582373,559.030296,0.0,12
C10393,566.147105,0.0,0.0,187.57235500000002,0.0,0.083333,1,2000.0,1177.6615769999999,190.365154,0.0,12
C10399,1526.506915,46.67,0.0,0.0,0.083333,0.0,0,1800.0,338.413344,642.547142,0.0,12
C10403,497.90802699999995,245.39,245.39,0.0,0.583333,0.0,0,4000.0,328.796655,165.308304,0.0,12
C10404,681.95925,98.0,0.0,0.0,0.166667,0.0,0,4000.0,192.36998300000002,221.37594199999998,0.0,12
C10408,201.3504,600.0,600.0,0.0,0.5,0.0,0,1000.0,249.06630800000002,184.776562,0.0,12
C10409,2502.264409,0.0,0.0,2368.8726420000003,0.0,0.083333,2,10000.0,541.3089809999999,724.956358,0.0,12
C10410,4543.789386,255.12,250.12,0.0,0.666667,0.0,0,8500.0,1703.3321260000002,1121.510137,0.0,12
C10413,2259.431829,780.64,580.99,1227.5554849999999,1.0,0.333333,6,3500.0,663.553502,483.836254,0.0,12
C10415,2025.162877,778.33,778.33,0.0,0.916667,0.0,0,2000.0,1411.329676,1430.50774,0.0,12
C10422,1874.8433940000002,0.0,0.0,120.178123,0.0,0.083333,1,2100.0,444.783009,671.420908,0.0,12
C10436,1452.437463,0.0,0.0,114.91871499999999,0.0,0.25,3,1500.0,331.670616,479.77177400000005,0.0,12
C10450,981.643409,0.0,0.0,1462.32354,0.0,0.083333,2,1500.0,2008.9717449999998,277.582819,0.125,12
C10452,4264.307261,222.64,222.64,249.29820800000002,0.916667,0.25,3,4500.0,1017.2418550000001,1225.908506,0.0,12
C10453,4503.390811,1634.74,258.74,94.837161,1.0,0.083333,1,13000.0,1094.3453359999999,1194.234398,0.0,12
C10454,969.2944460000001,0.0,0.0,340.249539,0.0,0.083333,1,1200.0,591.853821,204.676682,0.0,12
C10466,1036.595935,0.0,0.0,193.73813700000002,0.0,0.083333,1,1200.0,274.653536,327.072615,0.0,12
C10475,395.052994,1239.46,487.18,0.0,0.666667,0.0,0,1500.0,401.21704700000004,177.766827,0.0,12
C10476,1715.459275,96.75,62.1,19.141227,0.333333,0.083333,1,1800.0,452.22551200000004,411.612521,0.0,12
C10481,1122.603377,883.73,426.11,0.0,0.833333,0.0,0,3000.0,632.0624429999999,568.410749,0.0,12
C10482,805.131074,795.54,628.14,418.482499,1.0,0.083333,1,1700.0,1804.065076,261.258072,0.0,12
C10483,869.001444,0.0,0.0,278.591282,0.0,0.083333,1,1200.0,541.101815,286.37428900000003,0.0,12
C10485,2070.069187,1382.57,304.82,0.0,1.0,0.0,0,2400.0,1580.0815,466.772558,0.0,12
C10486,52.229659000000005,565.5,565.5,101.13737900000001,1.0,0.083333,1,8500.0,2768.795805,199.803721,0.25,12
C10490,3872.6054670000003,0.0,0.0,1483.9330539999999,0.0,0.416667,8,4000.0,1067.4054609999998,911.0854300000001,0.0,12
C10492,1481.43247,0.0,0.0,149.36039,0.0,0.083333,1,1800.0,586.426259,494.954634,0.0,12
C10493,1135.53683,50.98,50.98,0.0,0.333333,0.0,0,1200.0,320.592941,385.347014,0.0,12
C10501,911.2818619999999,70.0,0.0,0.0,0.083333,0.0,0,8500.0,566.292758,218.497636,0.0,12
C10518,2061.2793699999997,0.0,0.0,554.11523,0.0,0.25,3,4500.0,552.713988,585.776445,0.0,12
C10522,1199.942209,1447.01,1140.7,49.912813,0.916667,0.083333,1,2400.0,642.7237230000001,457.25526900000006,0.0,12
C10526,128.175207,182.94,182.94,0.0,0.833333,0.0,0,5000.0,1391.649702,186.774371,0.3,12
C10528,1529.206464,874.94,874.94,0.0,0.833333,0.0,0,1500.0,716.2410629999999,1502.744095,0.0,12
C10530,2924.757622,0.0,0.0,281.044645,0.0,0.166667,3,3000.0,677.6494349999999,1187.962476,0.0,12
C10539,1534.891604,0.0,0.0,2614.626296,0.0,0.25,8,3000.0,304.984801,427.594038,0.0,12
C10547,257.997181,1020.47,835.47,0.0,0.916667,0.0,0,6500.0,1099.1575699999999,163.15511899999998,0.0,12
C10549,1117.635883,0.0,0.0,97.200877,0.0,0.25,3,1200.0,308.089987,361.25040099999995,0.0,12
C10552,77.45581,558.28,287.76,0.0,0.916667,0.0,0,8000.0,601.746596,149.98251299999998,0.333333,12
C10556,1112.070216,179.24,120.24,0.0,0.416667,0.0,0,4000.0,217.546584,368.652894,0.0,12
C10557,2569.379868,972.65,809.7,1390.3671550000001,0.583333,0.166667,5,5500.0,807.0476219999999,590.361005,0.0,12
C10580,3294.37955,0.0,0.0,2546.891416,0.0,0.083333,3,4000.0,1084.0592390000002,1228.291582,0.0,12
C10583,181.463092,133.39,0.0,219.143859,0.25,0.166667,2,2500.0,168.42578799999998,169.473399,0.0,12
C10585,542.218074,0.0,0.0,1074.741949,0.0,0.166667,2,1500.0,1328.855136,189.52525,0.0,12
C10588,1095.379426,0.0,0.0,282.895246,0.0,0.25,3,1200.0,432.048813,256.494357,0.0,12
C10592,23.290641,293.99,99.0,0.0,0.5,0.0,0,12500.0,287.796655,93.027601,0.333333,12
C10596,2689.586312,0.0,0.0,2224.6864600000004,0.0,0.083333,1,7000.0,809.880619,663.360789,0.0,12
C10599,1068.031748,98.97,98.97,0.0,0.416667,0.0,0,2500.0,3594.989864,445.21557699999994,0.0,12
C10603,259.467265,646.24,0.0,0.0,0.083333,0.0,0,10000.0,540.021578,183.08646299999998,0.0,12
C10604,1298.191599,0.0,0.0,2052.835555,0.0,0.333333,9,3500.0,3009.9267839999998,505.96592300000003,0.083333,12
C10615,2450.031338,1678.07,853.86,0.0,1.0,0.0,0,6500.0,682.930065,512.0733849999999,0.0,12
C10619,1946.4470379999998,411.38,0.0,99.07808100000001,0.25,0.083333,1,2500.0,1403.266638,513.5479780000001,0.0,12
C10624,917.7328460000001,18.41,18.41,0.0,0.083333,0.0,0,1000.0,1407.291593,424.623595,0.0,12
C10628,724.261595,625.46,427.06,0.0,0.583333,0.0,0,7500.0,721.0810230000001,234.27768700000001,0.0,12
C10629,2469.6656550000002,963.13,0.0,0.0,0.666667,0.0,0,7000.0,566.87028,639.521888,0.0,12
C10639,3419.6616759999997,11.06,0.0,1261.347779,0.083333,0.083333,1,4000.0,745.984976,1243.56477,0.0,12
C10642,2113.098241,619.93,619.93,1958.668173,1.0,0.083333,2,4000.0,529.8298940000001,508.775831,0.0,12
C10648,9.581344,118.6,48.6,0.0,1.0,0.0,0,3300.0,117.78008200000001,56.500841,0.1,12
C10650,1670.928797,794.52,0.0,0.0,0.666667,0.0,0,1750.0,1083.625844,1196.302503,0.0,12
C10652,1803.955439,1044.43,243.08,103.174612,0.666667,0.083333,1,5000.0,1068.8059130000001,518.001095,0.0,12
C10656,1434.097191,0.0,0.0,1866.8419489999999,0.0,0.083333,2,2400.0,2361.9291329999996,390.202217,0.0,12
C10661,1062.752143,0.0,0.0,496.76383,0.0,0.166667,3,1200.0,720.3446,369.566083,0.0,12
C10663,8.555864,0.0,0.0,75.612993,0.0,0.083333,1,5000.0,74.218884,96.13968,0.0,12
C10690,879.1909210000001,45.65,0.0,1246.223848,0.083333,0.166667,2,1200.0,1589.980022,439.870516,0.1,12
C10692,27.207109999999997,685.08,465.08,0.0,0.583333,0.0,0,13000.0,798.047921,66.969941,0.25,12
C10697,2144.477682,228.35,0.0,1908.662268,0.333333,0.083333,1,4000.0,2520.722012,507.93700700000005,0.0,12
C10700,1162.770552,533.36,533.36,19.292323,0.666667,0.083333,1,1200.0,632.227172,1395.576542,0.0,12
C10701,4094.433899,0.0,0.0,1618.325972,0.0,0.5,8,7500.0,1070.599052,1441.148962,0.0,12
C10709,2705.5919949999998,818.02,492.0,2758.007287,1.0,0.083333,3,3000.0,4055.34116,1002.6275189999999,0.083333,12
C10712,2892.138807,0.0,0.0,129.381701,0.0,0.333333,5,3000.0,666.956678,1066.060177,0.0,12
C10715,2119.537904,342.07,72.0,0.0,0.583333,0.0,0,3000.0,3505.371815,894.910352,0.0,12
C10721,763.327047,579.28,279.28,727.52546,0.5,0.083333,1,1200.0,635.871404,220.685812,0.0,12
C10722,1495.801569,420.03,100.0,0.0,1.0,0.0,0,6600.0,1283.885302,389.191998,0.0,12
C10726,1167.0455359999999,294.13,229.13,0.0,0.916667,0.0,0,1500.0,686.376349,266.50397000000004,0.0,12
C10729,999.3926349999999,0.0,0.0,2368.2483190000003,0.0,0.333333,10,1500.0,1724.178215,301.346806,0.1,12
C10730,3386.99251,171.92,0.0,0.0,0.416667,0.0,0,4500.0,907.867126,912.2698220000001,0.0,12
C10732,454.580913,1229.57,0.0,0.0,0.416667,0.0,0,2700.0,1125.497981,192.979922,0.0,12
C10734,2596.59993,0.0,0.0,1700.074178,0.0,0.5,9,3000.0,1794.421173,936.618592,0.0,12
C10738,838.616485,375.57,0.0,99.587515,0.25,0.083333,1,6000.0,779.057364,179.42685,0.0,12
C10740,88.823762,291.65,291.65,0.0,0.75,0.0,0,8000.0,341.378477,209.31758200000002,0.083333,12
C10744,1024.761905,77.99,0.0,0.0,0.166667,0.0,0,1200.0,555.23373,303.743033,0.0,12
C10746,15.492415,65.0,0.0,0.0,0.083333,0.0,0,3000.0,19.221232999999998,67.643963,0.0,12
C10748,4881.822347,0.0,0.0,223.95304199999998,0.0,0.25,3,8500.0,1227.062915,1208.463027,0.0,12
C10749,1855.212121,32.22,0.0,37.743145,0.083333,0.083333,1,2000.0,349.584645,695.503633,0.0,12
C10754,2398.26262,0.0,0.0,722.3614980000001,0.0,0.416667,8,6000.0,738.312743,879.041116,0.0,12
C10757,660.397749,776.89,77.9,0.0,0.166667,0.0,0,1500.0,487.29407199999997,215.00795699999998,0.0,12
C10759,2571.284657,0.0,0.0,259.611243,0.0,0.416667,7,2750.0,750.5349620000001,883.2493279999999,0.0,12
C10765,1439.343061,571.91,0.0,0.0,0.25,0.0,0,2100.0,2573.55754,756.2209780000001,0.0,12
C10773,1350.286625,642.33,0.0,0.0,0.5,0.0,0,9000.0,323.68316699999997,344.973051,0.0,12
C10774,1261.488342,890.2,0.0,0.0,0.5,0.0,0,3000.0,302.073647,330.87851,0.0,12
C10782,4193.283047,183.7,0.0,1585.714709,0.25,0.166667,4,10500.0,1030.0934619999998,1116.001393,0.0,12
C10793,2052.3256100000003,0.0,0.0,200.266788,0.0,0.333333,5,2000.0,529.203224,1501.874974,0.0,12
C10794,56.72026700000001,260.0,0.0,0.0,0.083333,0.0,0,5500.0,278.975102,92.072121,0.0,12
C10795,1121.068043,0.0,0.0,56.461201,0.0,0.166667,3,1200.0,236.09243999999998,351.184105,0.0,12
C10798,1955.179305,503.45,0.0,0.0,0.083333,0.0,0,10500.0,685.660178,495.65427999999997,0.0,12
C10800,2027.896903,933.5,0.0,1160.28334,0.083333,0.083333,2,3000.0,393.417404,462.153221,0.0,12
C10801,1252.58309,1163.93,213.9,0.0,0.833333,0.0,0,5000.0,0.0,,0.0,12
C10803,1822.4319899999998,177.23,106.97,0.0,0.083333,0.0,0,2500.0,1136.3401210000002,428.353499,0.0,12
C10807,2748.60877,0.0,0.0,434.319424,0.0,0.166667,4,3000.0,808.881566,1663.969183,0.0,12
C10819,2435.823938,749.3,355.8,0.0,0.583333,0.0,0,8500.0,2501.1250379999997,541.5124099999999,0.0,12
C10821,1524.409377,70.0,70.0,640.711949,0.166667,0.5,9,1500.0,973.097522,1263.139657,0.0,12
C10822,1819.5291969999998,219.26,0.0,977.9263800000001,0.25,0.333333,7,2500.0,518.949471,1223.3357210000001,0.0,12
C10824,644.530629,268.68,268.68,0.0,1.0,0.0,0,1200.0,1557.68946,438.318992,0.166667,12
C10827,1716.622291,455.76,419.76,0.0,1.0,0.0,0,1700.0,881.425823,1066.8019359999998,0.0,12
C10833,81.762162,777.04,255.58,0.0,0.833333,0.0,0,7500.0,753.811533,162.763716,0.0,12
C10834,1373.277423,0.0,0.0,2739.66574,0.0,0.166667,2,3300.0,0.0,,0.0,12
C10837,155.924331,517.14,56.57,0.0,0.416667,0.0,0,3000.0,369.733274,131.403254,0.0,12
C10843,1748.546186,74.98,0.0,216.032736,0.166667,0.25,5,1800.0,650.440749,572.683934,0.0,12
C10847,1399.729932,0.0,0.0,1967.782148,0.0,0.333333,5,3000.0,712.803089,316.46191600000003,0.0,12
C10848,674.817091,1152.83,1152.83,0.0,1.0,0.0,0,7000.0,0.0,,0.0,12
C10852,1011.1106789999999,186.11,125.0,0.0,0.333333,0.0,0,3000.0,634.853367,227.160721,0.0,12
C10853,1358.890643,89.9,61.9,0.0,0.333333,0.0,0,7000.0,323.344372,409.65366,0.0,12
C10854,1392.7732019999999,221.61,0.0,0.0,0.666667,0.0,0,1700.0,369.345758,294.377252,0.0,12
C10856,1892.4396219999999,86.7,0.0,92.435934,0.166667,0.083333,2,2000.0,534.0928269999999,1069.925154,0.0,12
C10858,920.968431,977.38,361.39,0.0,0.833333,0.0,0,3350.0,549.396517,266.850585,0.0,12
C10859,227.781773,1497.82,807.25,0.0,1.0,0.0,0,3500.0,342.79542999999995,183.964777,0.090909,12
C10861,4115.739163,0.0,0.0,540.251858,0.0,0.25,3,8500.0,1006.2615789999999,1313.531481,0.0,12
C10862,1375.845223,0.0,0.0,112.68004499999999,0.0,0.25,3,1500.0,306.606914,736.789619,0.0,12
C10863,1300.593766,0.0,0.0,513.664928,0.0,0.166667,3,3000.0,386.660071,396.635432,0.0,12
C10864,1437.895562,350.0,350.0,0.0,0.166667,0.0,0,4000.0,0.0,,0.0,12
C10865,1304.357015,1488.8,501.12,858.5164179999999,0.833333,0.166667,2,2000.0,612.674919,341.524735,0.0,12
C10866,1372.725482,992.25,340.85,667.818882,0.833333,0.25,3,4500.0,2899.1410149999997,464.139521,0.0,12
C10869,161.19886100000002,536.68,433.68,0.0,1.0,0.0,0,1000.0,280.826685,165.304588,0.090909,12
C10870,825.977042,0.0,0.0,904.460261,0.0,0.166667,4,2500.0,522.917982,170.397605,0.0,12
C10877,1255.779743,385.0,0.0,0.0,0.166667,0.0,0,5000.0,0.0,,0.0,12
C10883,992.599867,100.0,0.0,593.1817629999999,0.083333,0.166667,3,1200.0,0.0,,0.0,12
